"estado_num","estado","AÑO","MES","poblacion","EJ","tasa","EJF","EJM","FPE","MEN","TOR","DTRA","PRE","FCRU","ELE","CORR","TAX","DRO","VEH","VAL","v_automovil","v_camion","v_camioneta","v_jeep","v_moto","v_patrulla","v_tanque","d_cocaina","d_otras_drogas","d_marihuana","e_15_o_menos","e_15_a_20","e_20_a_30","e_30_a_50","e_50_o_mas","WEAPON","m_arma_de_fuego","m_decapitado","m_mutiliado","m_encobijado","m_asfixiado","m_calcinado","m_foza","m_golpes","m_tortura","m_vehiculo","m_otra","mens_gobierno","mens_narco","mens_otro","cartel_juarez","cartel_beltranleyva","cartel_sinaloa","cartel_familia_michoacana","cartel_zetas","cartel_otro"
"1","Aguascalientes",2008,12,2280855,2,0.876864158396742,0,2,1,0,0,708,0,0,0,0,1,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Aguascalientes",2009,1,2328520,2,0.858914675416144,0,2,2,0,0,37,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Aguascalientes",2009,2,2328520,1,0.429457337708072,0,1,1,1,1,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"1","Aguascalientes",2009,3,2328520,1,0.429457337708072,0,1,1,0,0,84,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Aguascalientes",2009,4,2328520,1,0.429457337708072,0,1,1,0,0,107,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Aguascalientes",2009,5,2328520,7,3.0062013639565,1,2,1,0,0,252,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Aguascalientes",2009,6,2328520,5,2.14728668854036,0,3,3,0,0,499,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"1","Aguascalientes",2009,7,2328520,1,0.429457337708072,0,1,0,0,0,209,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Aguascalientes",2009,9,2328520,2,0.858914675416144,0,2,2,0,0,493,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"1","Aguascalientes",2009,11,2328520,2,0.858914675416144,0,1,0,0,0,313,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1","Aguascalientes",2009,12,2328520,5,2.14728668854036,1,3,4,2,0,1398,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,4,2,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
"1","Aguascalientes",2010,1,2376187,1,0.420842299027812,0,1,1,0,0,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Aguascalientes",2010,2,2376187,4,1.68336919611125,1,3,3,0,0,183,0,0,0,0,0,2,3,4,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Aguascalientes",2010,5,2376187,3,1.26252689708344,0,3,3,0,0,413,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Aguascalientes",2010,6,2376187,3,1.26252689708344,0,2,2,0,0,326,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Aguascalientes",2010,7,2376187,2,0.841684598055624,0,2,2,0,0,401,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1","Aguascalientes",2010,8,2376187,5,2.10421149513906,0,4,3,1,0,916,0,0,0,0,0,0,1,3,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"1","Aguascalientes",2010,9,2376187,5,2.10421149513906,0,5,5,0,1,1329,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1","Aguascalientes",2010,10,2376187,7,2.94589609319469,0,5,3,0,0,1416,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Aguascalientes",2010,11,2376187,6,2.52505379416687,0,4,4,0,0,1297,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Aguascalientes",2010,12,2376187,4,1.68336919611125,1,2,3,1,0,1031,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1","Aguascalientes",2011,1,2423854,7,2.88796272382743,1,5,6,1,0,59,0,0,0,0,0,0,4,5,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"1","Aguascalientes",2011,2,2423854,6,2.47539662042351,0,5,5,1,0,235,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,5,1,2,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0
"1","Aguascalientes",2011,3,2423854,5,2.06283051701959,0,5,3,0,0,353,0,0,0,0,1,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Aguascalientes",2011,4,2423854,5,2.06283051701959,1,4,5,1,0,555,0,0,0,0,0,0,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,5,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1","Aguascalientes",2011,5,2423854,5,2.06283051701959,0,2,2,0,0,270,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1","Aguascalientes",2011,6,2423854,7,2.88796272382743,0,7,7,5,0,1161,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,7,2,2,0,0,2,0,0,0,0,0,2,0,4,1,0,0,0,3,0,2
"1","Aguascalientes",2011,8,2423854,1,0.412566103403918,0,1,1,1,0,230,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"1","Aguascalientes",2011,9,2423854,1,0.412566103403918,0,1,1,0,0,247,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Aguascalientes",2011,10,2423854,2,0.825132206807836,1,1,2,0,0,579,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Baja California",2007,1,5949203,16,2.68943587905809,1,12,12,0,0,162,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Baja California",2007,2,5949203,1,0.16808974244113,0,1,1,0,0,41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Baja California",2007,3,5949203,10,1.6808974244113,3,3,7,0,2,527,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Baja California",2007,4,5949203,14,2.35325639417582,0,6,8,0,0,875,0,0,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Baja California",2007,5,5949203,10,1.6808974244113,0,8,8,1,2,1348,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2","Baja California",2007,6,5949203,22,3.69797433370487,0,12,15,3,3,2485,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"2","Baja California",2007,7,5949203,14,2.35325639417582,1,7,9,2,0,1745,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"2","Baja California",2007,8,5949203,20,3.36179484882261,1,14,17,0,1,3890,1,0,0,0,0,0,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Baja California",2007,9,5949203,19,3.19370510638148,1,14,12,0,2,3896,0,0,0,0,0,0,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Baja California",2007,10,5949203,20,3.36179484882261,1,13,13,0,2,4315,1,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Baja California",2007,11,5949203,22,3.69797433370487,1,21,18,1,1,7067,0,0,0,0,0,1,7,9,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2","Baja California",2007,12,5949203,26,4.37033330346939,1,20,21,0,1,7674,0,0,0,0,0,0,2,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Baja California",2008,1,6073590,26,4.28082896606455,2,17,14,0,0,330,0,0,0,0,0,0,5,8,3,0,5,0,0,1,0,0,0,0,0,0,1,3,2,17,12,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"2","Baja California",2008,2,6073590,25,4.11618169813899,1,20,20,4,1,951,0,0,0,0,0,0,2,7,1,0,0,0,0,0,0,0,0,0,0,1,4,5,0,21,10,0,0,0,1,1,0,0,0,1,8,0,1,3,0,0,0,0,0,1
"2","Baja California",2008,3,6073590,27,4.44547623399011,3,20,20,0,1,1503,0,0,0,0,0,0,4,10,5,0,3,1,0,0,0,0,0,1,1,1,6,9,1,21,9,0,0,1,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"2","Baja California",2008,4,6073590,24,3.95153443021343,1,19,16,2,5,1992,0,0,0,0,0,1,6,10,4,0,1,0,0,0,0,0,0,0,0,1,2,8,0,19,13,0,1,2,0,1,0,0,3,2,0,0,1,1,0,0,0,0,0,0
"2","Baja California",2008,5,6073590,10,1.6464726792556,1,7,7,0,0,959,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,7,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2","Baja California",2008,6,6073590,19,3.12829809058563,1,11,14,0,1,2312,0,0,0,0,0,0,4,7,1,0,1,0,1,0,0,0,0,0,0,3,5,3,0,14,9,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
"2","Baja California",2008,7,6073590,21,3.45759262643675,0,13,12,0,1,2574,0,0,0,0,0,0,5,6,3,0,2,0,0,0,0,0,0,0,0,0,4,4,0,13,8,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"2","Baja California",2008,8,6073590,19,3.12829809058563,0,14,13,2,1,3174,0,0,0,0,1,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,14,6,2,0,3,0,1,0,0,0,1,1,0,2,0,0,0,1,0,0,1
"2","Baja California",2008,9,6073590,51,8.39701066420354,3,22,24,6,3,6613,0,0,0,0,0,0,11,15,2,0,4,0,0,0,0,0,0,0,0,1,4,6,1,25,11,1,0,2,1,2,0,0,2,3,3,0,5,1,0,0,0,0,1,4
"2","Baja California",2008,10,6073590,159,26.178915600164,5,90,87,8,1,27755,1,1,0,0,0,0,33,65,10,0,17,0,0,0,0,0,0,0,0,2,14,22,0,97,68,6,1,3,3,1,0,0,0,7,8,0,6,2,0,0,0,0,0,10
"2","Baja California",2008,11,6073590,257,42.3143478568688,12,138,145,9,2,49603,0,1,0,0,0,0,42,87,11,0,20,0,0,0,0,0,0,1,3,7,26,22,7,155,125,5,1,1,1,3,0,0,2,3,14,0,8,1,0,0,0,0,0,12
"2","Baja California",2008,12,6073590,83,13.6657232378215,7,59,64,1,2,23086,0,1,0,0,0,0,21,39,1,1,15,1,0,0,0,0,0,0,0,2,18,9,3,66,48,2,0,3,2,1,0,0,1,3,6,0,1,0,0,0,0,0,0,1
"2","Baja California",2009,1,6197974,59,9.51923967412577,5,39,40,1,2,491,0,0,0,0,1,0,8,32,1,0,10,0,0,0,0,0,0,0,0,3,11,11,1,42,34,3,0,0,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0
"2","Baja California",2009,2,6197974,17,2.74283177051081,0,17,16,0,0,762,0,0,0,0,0,1,5,8,1,0,2,0,0,0,0,0,0,0,0,0,4,3,1,17,12,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2","Baja California",2009,3,6197974,32,5.1629774503733,3,23,27,3,1,1992,0,0,0,0,0,1,8,15,3,0,2,0,1,0,0,0,0,0,0,1,10,5,1,27,21,1,0,2,0,1,0,0,1,0,2,1,1,2,0,0,0,0,0,0
"2","Baja California",2009,4,6197974,31,5.00163440504913,1,23,23,0,0,2811,0,0,0,0,0,0,10,15,3,0,4,1,0,0,0,0,0,0,0,1,3,11,0,26,17,2,0,0,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"2","Baja California",2009,5,6197974,39,6.29237876764246,5,25,28,5,2,3824,0,0,0,0,0,1,7,21,0,0,2,0,0,0,0,0,0,0,0,2,5,8,3,29,18,2,1,3,1,1,0,0,0,0,5,0,1,4,0,0,0,0,0,1
"2","Baja California",2009,6,6197974,24,3.87223308777997,1,22,20,2,0,3538,0,0,0,0,1,1,9,12,1,0,2,0,0,0,0,0,0,0,1,1,3,8,0,22,14,2,0,1,0,2,0,0,0,0,4,0,0,2,0,0,0,0,0,0
"2","Baja California",2009,7,6197974,32,5.1629774503733,2,26,23,2,0,5507,0,0,0,0,0,3,9,20,5,0,4,2,0,0,1,0,0,0,0,2,7,7,1,28,26,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,2,0,0,1
"2","Baja California",2009,8,6197974,50,8.06715226620828,6,39,46,0,3,10341,0,0,0,0,0,1,17,34,1,0,7,2,0,0,0,0,0,0,0,0,9,23,1,46,38,1,0,0,2,2,0,0,1,0,2,0,0,0,0,0,1,0,0,2
"2","Baja California",2009,9,6197974,42,6.77640790361496,0,28,26,3,0,7374,1,0,0,0,0,1,8,20,2,0,6,0,0,0,0,0,0,0,0,0,7,14,2,29,25,0,0,0,2,1,0,0,0,0,2,3,0,1,0,0,0,0,0,2
