,entidad,nom_ent,mun,nom_mun,pobtot,pob_edo,prop_pob_mun
1968,20,Oaxaca,254,San Mateo Río Hondo,6645,7615962,0.0008725096054838509
1969,20,Oaxaca,46,Magdalena Jaltepec,6634,7615962,0.0008710652705462554
1970,20,Oaxaca,412,Santa María Guienagati,6621,7615962,0.0008693583292563698
1971,20,Oaxaca,17,La Compañía,6604,7615962,0.0008671261752619039
1972,20,Oaxaca,203,San Juan Lachigalla,6570,7615962,0.0008626618672729722
1973,31,Yucatán,49,Mayapán,6544,3916927,0.0016706974625771683
1974,20,Oaxaca,474,Santiago Llano Grande,6527,7615962,0.0008570158306987351
1975,14,Jalisco,71,San Cristóbal de la Barranca,6508,14729215,0.00044184296311785794
1976,20,Oaxaca,396,Santa María la Asunción,6504,7615962,0.0008539958576473989
1977,16,Michoacán de Ocampo,109,Zináparo,6501,8722733,0.0007452939348252434
1978,20,Oaxaca,271,San Miguel Mixtepec,6500,7615962,0.0008534706449428188
1979,7,Chiapas,119,Santiago el Pinar,6490,9645256,0.0006728696470057404
1980,31,Yucatán,103,Xocchel,6479,3916927,0.0016541028209103718
1981,20,Oaxaca,507,Santo Domingo Armenta,6452,7615962,0.0008471680924878564
1982,20,Oaxaca,286,San Miguel Tlacotepec,6447,7615962,0.0008465115766071312
1983,16,Michoacán de Ocampo,7,Aporo,6446,8722733,0.0007389885715864511
1984,8,Chihuahua,26,Gran Morelos,6445,6847912,0.000941162795316295
1985,20,Oaxaca,71,Pluma Hidalgo,6442,7615962,0.000845855060726406
1986,20,Oaxaca,164,San Jorge Nuchita,6430,7615962,0.0008442794226126653
1987,20,Oaxaca,492,Santiago Tilantongo,6420,7615962,0.0008429663908512149
1988,20,Oaxaca,472,Santiago Laollaga,6405,7615962,0.0008409968432090392
1989,13,Hidalgo,33,Juárez Hidalgo,6403,5333562,0.0012005110280896706
1990,21,Puebla,201,Xochiltepec,6374,11567088,0.0005510462097288444
1991,20,Oaxaca,454,Santiago Atitlán,6362,7615962,0.000835350806634802
1992,20,Oaxaca,211,San Juan Ozolotepec,6348,7615962,0.0008335125621687713
1993,20,Oaxaca,284,San Miguel Tilquiápam,6327,7615962,0.0008307551954697253
1994,31,Yucatán,24,Chumayel,6309,3916927,0.001610701450397212
1995,20,Oaxaca,567,Zapotitlán Lagunas,6281,7615962,0.000824715249367053
1996,31,Yucatán,68,Sinanché,6264,3916927,0.001599212852320199
1997,21,Puebla,160,Teotlalco,6258,11567088,0.0005410177565866188
1998,8,Chihuahua,43,Matachí,6240,6847912,0.0009112266629594539
1999,31,Yucatán,81,Tekom,6231,3916927,0.0015907878803970562
2000,26,Sonora,6,Arizpe,6227,5346581,0.001164669533670209
2001,30,Veracruz de Ignacio de la Llave,2,Acatlán,6173,15332413,0.00040261112194147134
2002,31,Yucatán,51,Mocochá,6170,3916927,0.0015752144474482164
2003,20,Oaxaca,490,Santiago Texcalcingo,6152,7615962,0.0008077771396443417
2004,21,Puebla,42,Cuayuca de Andrade,6146,11567088,0.0005313351121734355
2005,20,Oaxaca,19,Concepción Pápalo,6142,7615962,0.0008064641078828912
2006,8,Chihuahua,58,San Francisco de Conchos,6141,6847912,0.0008967697014798088
2007,32,Zacatecas,11,Trinidad García de la Cadena,6121,2991119,0.0020463913338118612
2008,20,Oaxaca,197,San Juan Guelavía,6108,7615962,0.0008019997998939595
2009,31,Yucatán,18,Chapab,6079,3916927,0.0015519819491147013
2010,20,Oaxaca,566,San Mateo Yucutindó,6074,7615962,0.0007975354919050279
2011,20,Oaxaca,485,Santiago Tapextla,6068,7615962,0.0007967476728481576
2012,20,Oaxaca,231,San Lucas Camotlán,6052,7615962,0.0007946468220298368
2013,20,Oaxaca,535,San Vicente Lachixío,5955,7615962,0.0007819104139437671
2014,21,Puebla,31,Coatzingo,5934,11567088,0.0005130072495341956
2015,20,Oaxaca,379,Santa Cruz Nundaco,5916,7615962,0.0007767895900741102
2016,20,Oaxaca,279,San Miguel Suchixtepec,5897,7615962,0.0007742948297273542
2017,26,Sonora,45,Opodepe,5894,5346581,0.001102386740236424
2018,30,Veracruz de Ignacio de la Llave,98,Magdalena,5840,15332413,0.00038089242704328406
2019,5,Coahuila de Zaragoza,8,Escobedo,5837,5506909,0.0010599412483482114
2020,8,Chihuahua,22,Dr. Belisario Domínguez,5834,6847912,0.0008519385179015151
2021,20,Oaxaca,495,Santiago Xanica,5810,7615962,0.000762871453402735
2022,8,Chihuahua,49,Nonoava,5798,6847912,0.0008466814409998259
2023,30,Veracruz de Ignacio de la Llave,107,Las Minas,5794,15332413,0.0003778922469672582
2024,31,Yucatán,46,Mama,5788,3916927,0.0014776890148833512
2025,20,Oaxaca,88,San Andrés Cabecera Nueva,5780,7615962,0.0007589323581183835
2026,31,Yucatán,105,Yaxkukul,5763,3916927,0.0014713064603961217
2027,21,Puebla,5,Acteopan,5762,11567088,0.0004981374741853784
2028,20,Oaxaca,387,Santa Gertrudis,5719,7615962,0.0007509228643735354
2029,20,Oaxaca,308,San Pedro Huilotepec,5690,7615962,0.000747115072265329
2030,29,Tlaxcala,55,San Lucas Tecopilco,5687,2342829,0.002427407207269502
2031,32,Zacatecas,58,Santa María de la Paz,5685,2991119,0.0019006264879464843
2032,20,Oaxaca,113,San Baltazar Loxicha,5676,7615962,0.0007452768277992984
2033,20,Oaxaca,527,Santos Reyes Pápalo,5667,7615962,0.0007440950992139929
2034,21,Puebla,80,Atlequizayan,5666,11567088,0.0004898380646883641
2035,20,Oaxaca,176,San Juan Bautista Coixtlahuaca,5652,7615962,0.0007421255515718171
2036,31,Yucatán,16,Chacsinkín,5641,3916927,0.0014401595944984423
2037,13,Hidalgo,20,Eloxochitlán,5627,5333562,0.0010550172661347144
2038,19,Nuevo León,1,Abasolo,5625,9320338,0.0006035188852593114
2039,20,Oaxaca,212,San Juan Petlapa,5614,7615962,0.0007371360308783053
2040,20,Oaxaca,13,Ciénega de Zimatlán,5588,7615962,0.0007337221482985341
2041,20,Oaxaca,519,Santo Domingo Tomaltepec,5580,7615962,0.0007326717228893736
2042,20,Oaxaca,220,San Juan Tepeuxila,5563,7615962,0.0007304395688949078
2043,29,Tlaxcala,47,Lázaro Cárdenas,5558,2342829,0.0023723455702486184
2044,20,Oaxaca,403,Santa María Coyotepec,5558,7615962,0.0007297830530141826
2045,20,Oaxaca,394,Santa María Alotepec,5556,7615962,0.0007295204466618925
2046,31,Yucatán,31,Dzoncauich,5546,3916927,0.0014159058874469706
2047,20,Oaxaca,60,Mixistlán de la Reforma,5540,7615962,0.0007274195958435717
2048,31,Yucatán,43,Kaua,5532,3916927,0.001412331656934122
2049,31,Yucatán,54,Muxupip,5511,3916927,0.0014069703111648493
2050,20,Oaxaca,455,Santiago Ayuquililla,5503,7615962,0.0007225613783262049
2051,32,Zacatecas,41,El Salvador,5495,2991119,0.0018371051101611136
2052,26,Sonora,60,Sáric,5487,5346581,0.0010262633260395757
2053,20,Oaxaca,226,San Lorenzo Albarradas,5458,7615962,0.0007166527353996777
2054,30,Veracruz de Ignacio de la Llave,140,San Andrés Tenejapan,5438,15332413,0.000354673462031058
2055,20,Oaxaca,123,San Bernardo Mixtepec,5414,7615962,0.0007108753956492955
2056,32,Zacatecas,3,Atolinga,5412,2991119,0.001809356297760136
2057,19,Nuevo León,43,Rayones,5412,9320338,0.0005806656368041588
2058,32,Zacatecas,27,Melchor Ocampo,5388,2991119,0.0018013325447767206
2059,20,Oaxaca,561,Yaxe,5366,7615962,0.0007045728431943331
2060,20,Oaxaca,75,Reforma de Pineda,5342,7615962,0.000701421566966852
2061,20,Oaxaca,146,San Francisco Logueche,5332,7615962,0.0007001085352054015
2062,20,Oaxaca,363,Santa Catarina Ixtepeji,5317,7615962,0.0006981389875632258
2063,14,Jalisco,56,Santa María del Oro,5315,14729215,0.00036084747218368394
2064,20,Oaxaca,555,Trinidad Zaachila,5306,7615962,0.0006966946526256303
2065,21,Puebla,96,Mazapiltepec de Juárez,5301,11567088,0.00045828301816325766
2066,21,Puebla,216,Zoquiapan,5289,11567088,0.0004572455919761309
2067,26,Sonora,1,Aconchi,5286,5346581,0.000988669207480444
2068,32,Zacatecas,28,Mezquital del Oro,5283,2991119,0.001766228625474279
2069,28,Tamaulipas,20,Mainero,5266,6556450,0.0008031785493674168
2070,20,Oaxaca,351,San Simón Almolongas,5252,7615962,0.0006896042811137976
2071,20,Oaxaca,344,San Sebastián Coatlán,5241,7615962,0.000688159946176202
2072,20,Oaxaca,333,San Pedro Totolápam,5231,7615962,0.0006868469144147516
2073,20,Oaxaca,7,Asunción Ocotlán,5224,7615962,0.0006859277921817362
2074,31,Yucatán,77,Tekal de Venegas,5223,3916927,0.0013334432834719667
2075,20,Oaxaca,381,Santa Cruz Tacache de Mina,5212,7615962,0.0006843521540679956
2076,20,Oaxaca,433,Santa María Temaxcaltepec,5192,7615962,0.0006817260905450947
2077,20,Oaxaca,161,San Jerónimo Sosola,5155,7615962,0.0006768678730277279
2078,20,Oaxaca,219,San Juan Teitipac,5150,7615962,0.0006762113571470025
2079,20,Oaxaca,61,Monjas,5136,7615962,0.0006743731126809719
2080,20,Oaxaca,388,Santa Inés del Monte,5096,7615962,0.0006691209856351699
2081,20,Oaxaca,193,San Juan del Estado,5095,7615962,0.0006689896824590249
2082,32,Zacatecas,30,Momax,5074,2991119,0.0016963551099103713
2083,20,Oaxaca,187,San Juan Coatzóspam,5072,7615962,0.0006659697094076887
2084,20,Oaxaca,189,San Juan Comaltepec,5034,7615962,0.0006609801887141769
2085,20,Oaxaca,104,San Antonino el Alto,5016,7615962,0.000658616731543566
2086,20,Oaxaca,3,Asunción Cacalotepec,4990,7615962,0.0006552028489637947
2087,20,Oaxaca,260,San Miguel Aloápam,4989,7615962,0.0006550715457876497
2088,21,Puebla,28,Camocuautla,4962,11567088,0.000428975728376926
2089,20,Oaxaca,259,San Miguel Ahuehuetitlán,4959,7615962,0.0006511324505032982
2090,20,Oaxaca,486,Villa Tejúpam de la Unión,4958,7615962,0.0006510011473271532
2091,31,Yucatán,28,Dzilam de Bravo,4957,3916927,0.0012655329037278458
2092,21,Puebla,59,Chinantla,4950,11567088,0.0004279383021897992
2093,20,Oaxaca,118,San Bartolomé Quialana,4944,7615962,0.0006491629028611225
2094,20,Oaxaca,27,Chiquihuitlán de Benito Juárez,4931,7615962,0.0006474559615712368
2095,20,Oaxaca,240,San Martín Itunyoso,4920,7615962,0.0006460116266336413
2096,31,Yucatán,45,Kopomá,4900,3916927,0.0012509806794969629
2097,20,Oaxaca,69,La Pe,4892,7615962,0.0006423351377015799
2098,20,Oaxaca,112,San Baltazar Chichicápam,4882,7615962,0.0006410221059401294
2099,20,Oaxaca,117,San Bartolomé Loxicha,4867,7615962,0.0006390525582979537
2100,20,Oaxaca,33,Guadalupe Etla,4866,7615962,0.0006389212551218086
2101,31,Yucatán,10,Cantamayec,4849,3916927,0.0012379602683430149
2102,20,Oaxaca,280,Villa Talea de Castro,4788,7615962,0.0006286796073824948
2103,20,Oaxaca,154,San Ildefonso Amatlán,4786,7615962,0.0006284170010302047
2104,20,Oaxaca,206,San Juan de los Cués,4716,7615962,0.0006192257787000513
2105,21,Puebla,37,Coyotepec,4678,11567088,0.0004044233086149254
2106,20,Oaxaca,531,Santo Tomás Mazaltepec,4666,7615962,0.0006126606198927989
2107,8,Chihuahua,14,Coronado,4660,6847912,0.0006804993989408743
2108,20,Oaxaca,180,San Juan Bautista Lo de Soto,4650,7615962,0.000610559769074478
2109,5,Coahuila de Zaragoza,29,Sacramento,4645,5506909,0.0008434858829154432
2110,20,Oaxaca,214,San Juan Quiotepec,4634,7615962,0.0006084589182561573
2111,8,Chihuahua,57,San Francisco de Borja,4627,6847912,0.0006756804117809926
2112,20,Oaxaca,182,San Juan Bautista Tlacoatzintepec,4599,7615962,0.0006038633070910806
2113,20,Oaxaca,264,San Miguel Chicahua,4568,7615962,0.000599792908630584
2114,20,Oaxaca,336,San Pedro Yólox,4541,7615962,0.0005962477228746677
2115,8,Chihuahua,56,Rosario,4521,6847912,0.0006602012409037967
2116,20,Oaxaca,253,San Mateo Piñas,4504,7615962,0.0005913895053573009
2117,7,Chiapas,88,Sunuapa,4489,9645256,0.0004654101456716131
2118,20,Oaxaca,158,San Jacinto Tlacotepec,4462,7615962,0.0005858747719592088
2119,31,Yucatán,86,Tepakán,4458,3916927,0.001138137116162747
2120,21,Puebla,97,Mixtla,4432,11567088,0.00038315607177882627
2121,14,Jalisco,28,Cuautla,4427,14729215,0.00030055912687811266
2122,20,Oaxaca,425,Santa María Pápalo,4418,7615962,0.0005800974322088267
2123,5,Coahuila de Zaragoza,12,Guerrero,4413,5506909,0.000801356986287589
2124,20,Oaxaca,533,Santo Tomás Tamazulapan,4395,7615962,0.0005770774591574905
2125,30,Veracruz de Ignacio de la Llave,190,Tuxtilla,4362,15332413,0.0002844953367744529
2126,10,Durango,29,San Luis del Cordero,4362,3281041,0.0013294561085948028
2127,20,Oaxaca,496,Santiago Xiacuí,4342,7615962,0.000570118390821803
2128,20,Oaxaca,152,San Francisco Tlapancingo,4318,7615962,0.0005669671145943218
2129,20,Oaxaca,89,San Andrés Dinicuiti,4311,7615962,0.0005660479923613064
2130,30,Veracruz de Ignacio de la Llave,41,Coetzala,4305,15332413,0.0002807777223324209
2131,20,Oaxaca,297,San Pablo Tijaltepec,4300,7615962,0.0005646036574237108
2132,31,Yucatán,106,Yobaín,4299,3916927,0.001097544069623968
2133,20,Oaxaca,139,San Francisco Chapulapa,4280,7615962,0.0005619775939008099
2134,20,Oaxaca,323,San Pedro Ocotepec,4270,7615962,0.0005606645621393594
2135,20,Oaxaca,252,San Mateo Peñasco,4232,7615962,0.0005556750414458476
2136,20,Oaxaca,38,Villa Hidalgo,4228,7615962,0.0005551498287412674
2137,20,Oaxaca,167,San José del Peñasco,4188,7615962,0.0005498977016954654
2138,19,Nuevo León,50,Vallecillo,4182,9320338,0.00044869617389412274
2139,14,Jalisco,34,Ejutla,4182,14729215,0.0002839255180944809
2140,20,Oaxaca,255,San Mateo Sindihui,4172,7615962,0.0005477968508771446
2141,20,Oaxaca,342,San Raymundo Jalpan,4168,7615962,0.0005472716381725644
2142,26,Sonora,40,Nácori Chico,4145,5346581,0.0007752617981472646
2143,28,Tamaulipas,10,Cruillas,4145,6556450,0.0006322018775404373
2144,31,Yucatán,5,Bokobá,4107,3916927,0.001048526051162046
2145,19,Nuevo León,27,Los Herreras,4094,9320338,0.0004392544562225104
2146,26,Sonora,59,Santa Cruz,4087,5346581,0.0007644137440356744
2147,20,Oaxaca,499,Santiago Yolomécatl,4065,7615962,0.0005337474110296244
2148,20,Oaxaca,448,Santa María Zaniza,4028,7615962,0.0005288891935122576
2149,21,Puebla,9,Ahuehuetitla,4016,11567088,0.00034719196395843104
2150,8,Chihuahua,41,Maguarichi,4008,6847912,0.0005852878950547262
2151,20,Oaxaca,356,Santa Ana del Valle,3986,7615962,0.0005233744601141655
2152,20,Oaxaca,353,Santa Ana,3978,7615962,0.000522324034705005
2153,20,Oaxaca,349,San Sebastián Teitipac,3962,7615962,0.0005202231838866843
2154,31,Yucatán,88,Teya,3956,3916927,0.0010099754220591806
2155,20,Oaxaca,380,Santa Cruz Papalutla,3944,7615962,0.0005178597267160735
2156,20,Oaxaca,481,Santiago Nuyoó,3932,7615962,0.0005162840886023328
2157,20,Oaxaca,487,Santiago Tenango,3894,7615962,0.000511294567908821
2158,20,Oaxaca,148,San Francisco Ozolotepec,3890,7615962,0.0005107693552042408
2159,20,Oaxaca,405,Villa de Chilapa de Díaz,3882,7615962,0.0005097189297950804
2160,20,Oaxaca,478,Santiago Nacaltepec,3847,7615962,0.0005051233186300037
2161,5,Coahuila de Zaragoza,13,Hidalgo,3840,5506909,0.0006973058752196559
2162,20,Oaxaca,81,San Agustín Atenango,3835,7615962,0.000503547680516263
2163,20,Oaxaca,94,San Andrés Nuxiño,3828,7615962,0.0005026285582832477
2164,20,Oaxaca,395,Santa María Apazco,3805,7615962,0.0004996085852319116
2165,8,Chihuahua,64,El Tule,3804,6847912,0.000555497792611821
2166,20,Oaxaca,340,San Pedro y San Pablo Tequixtepec,3775,7615962,0.0004956694899475602
2167,20,Oaxaca,372,Santa Catarina Yosonotú,3772,7615962,0.000495275580419125
2168,31,Yucatán,72,Suma,3756,3916927,0.0009589149861613453
2169,31,Yucatán,65,San Felipe,3728,3916927,0.0009517665251356484
2170,20,Oaxaca,369,Santa Catarina Quiané,3710,7615962,0.00048713478349813195
2171,20,Oaxaca,358,Santa Ana Tlapacoyan,3708,7615962,0.00048687217714584184
2172,20,Oaxaca,162,San Jerónimo Taviche,3704,7615962,0.00048634696444126163
2173,5,Coahuila de Zaragoza,16,Lamadrid,3704,5506909,0.0006726096254722931
2174,20,Oaxaca,343,San Sebastián Abasolo,3698,7615962,0.00048555914538439137
2175,20,Oaxaca,201,San Juan Juquila Vijanos,3664,7615962,0.00048109483739545967
2176,5,Coahuila de Zaragoza,5,Candela,3647,5506909,0.0006622589913870013
2177,26,Sonora,65,Tubutama,3637,5346581,0.0006802478069629919
2178,20,Oaxaca,368,Santa Catarina Minas,3632,7615962,0.00047689313575881813
2179,28,Tamaulipas,31,Palmillas,3614,6556450,0.0005512129277276575
2180,8,Chihuahua,15,Coyame del Sotol,3614,6847912,0.0005277521089640171
2181,19,Nuevo León,15,Dr. Coss,3595,9320338,0.0003857156253346177
2182,30,Veracruz de Ignacio de la Llave,18,Aquila,3594,15332413,0.00023440537376602104
2183,26,Sonora,64,Trincheras,3576,5346581,0.0006688386466042504
2184,21,Puebla,11,Albino Zertuche,3553,11567088,0.0003071646035717892
2185,26,Sonora,21,La Colorada,3552,5346581,0.0006643497966270408
2186,20,Oaxaca,431,Santa María Tecomavaca,3548,7615962,0.000465863668962634
2187,20,Oaxaca,428,Santa María Quiegolani,3540,7615962,0.0004648132435534736
2188,20,Oaxaca,438,Santa María Tlalixtac,3519,7615962,0.00046205587685442756
2189,20,Oaxaca,243,San Martín Tilcajete,3496,7615962,0.00045903590380309145
2190,20,Oaxaca,233,San Lucas Quiaviní,3490,7615962,0.0004582480847462212
2191,20,Oaxaca,548,Tepelmeme Villa de Morelos,3488,7615962,0.0004579854783939311
2192,10,Durango,30,San Pedro del Gallo,3483,3281041,0.0010615533301778308
2193,26,Sonora,67,Villa Hidalgo,3481,5346581,0.0006510702821111286
2194,20,Oaxaca,97,San Andrés Solaga,3480,7615962,0.00045693505298477065
2195,20,Oaxaca,569,Santa Inés de Zaragoza,3463,7615962,0.00045470289899030486
2196,31,Yucatán,83,Telchac Puerto,3456,3916927,0.0008823243323145925
2197,20,Oaxaca,175,San Juan Bautista Atatlahuca,3448,7615962,0.0004527333513481291
2198,20,Oaxaca,315,San Pedro Mártir,3428,7615962,0.0004501072878252281
2199,20,Oaxaca,314,San Pedro Juchatengo,3422,7615962,0.00044931946876835784
2200,20,Oaxaca,541,Tanetze de Zaragoza,3414,7615962,0.0004482690433591974
2201,31,Yucatán,71,Sudzal,3399,3916927,0.0008677721080837095
2202,8,Chihuahua,42,Manuel Benavides,3378,6847912,0.0004932890492751659
2203,26,Sonora,11,Bacoachi,3375,5346581,0.0006312445280451189
2204,20,Oaxaca,456,Santiago Cacaloxtepec,3375,7615962,0.0004431482194895405
2205,20,Oaxaca,420,Santa María Lachixío,3360,7615962,0.00044117867184736477
2206,26,Sonora,13,Banámichi,3333,5346581,0.0006233890405850018
2207,5,Coahuila de Zaragoza,15,Juárez,3317,5506909,0.0006023342677353122
2208,20,Oaxaca,504,Nuevo Zoquiápam,3304,7615962,0.00043382569398324206
2209,21,Puebla,196,Xayacatlán de Bravo,3303,11567088,0.0002855515580066478
2210,19,Nuevo León,28,Higueras,3284,9320338,0.0003523477367451695
2211,20,Oaxaca,445,Santa María Yosoyúa,3284,7615962,0.00043119963046034105
2212,20,Oaxaca,400,Santa María Camotlán,3270,7615962,0.00042936138599431036
2213,20,Oaxaca,523,Santo Domingo Yanhuitlán,3256,7615962,0.0004275231415282797
2214,32,Zacatecas,15,El Plateado de Joaquín Amaro,3249,2991119,0.0010862155601298377
2215,26,Sonora,57,San Pedro de la Cueva,3241,5346581,0.0006061817823390312
2216,31,Yucatán,64,Sanahcat,3238,3916927,0.0008266684571859522
2217,26,Sonora,50,Rayón,3224,5346581,0.000603002180271841
2218,20,Oaxaca,163,San Jerónimo Tecóatl,3214,7615962,0.0004220084081301876
2219,31,Yucatán,14,Cuncunul,3208,3916927,0.0008190093918012769
2220,20,Oaxaca,110,San Antonio Sinicahua,3206,7615962,0.00042095798272102724
2221,20,Oaxaca,465,Santiago Ixcuintepec,3141,7615962,0.00041242327627159905
2222,20,Oaxaca,237,San Marcos Arteaga,3116,7615962,0.00040914069686797283
2223,30,Veracruz de Ignacio de la Llave,96,Landero y Coss,3092,15332413,0.00020166427815373876
2224,20,Oaxaca,236,San Marcial Ozolotepec,3092,7615962,0.0004059894206404916
2225,20,Oaxaca,301,San Pedro Apóstol,3090,7615962,0.00040572681428820156
2226,20,Oaxaca,558,Valerio Trujano,3088,7615962,0.00040546420793591146
2227,20,Oaxaca,222,San Juan Yaeé,3060,7615962,0.0004017877190038501
2228,20,Oaxaca,508,Santo Domingo Chihuitán,3055,7615962,0.0004011312031231248
2229,20,Oaxaca,149,San Francisco Sola,3054,7615962,0.00040099989994697976
2230,20,Oaxaca,429,Santa María Sola,3050,7615962,0.0004004746872423996
2231,20,Oaxaca,173,San Juan Atepec,3038,7615962,0.000398899049128659
2232,20,Oaxaca,568,Zapotitlán Palmas,3028,7615962,0.0003975860173672085
2233,20,Oaxaca,165,San José Ayuquila,3022,7615962,0.0003967981983103382
2234,20,Oaxaca,362,Santa Catarina Cuixtla,3001,7615962,0.00039404083161129216
2235,26,Sonora,10,Bacerac,2946,5346581,0.0005510063347024949
2236,20,Oaxaca,374,Santa Cruz Acatepec,2940,7615962,0.0003860313378664442
2237,20,Oaxaca,247,Capulálpam de Méndez,2934,7615962,0.00038524351880957387
2238,20,Oaxaca,179,San Juan Bautista Jayacatlán,2924,7615962,0.0003839304870481234
2239,20,Oaxaca,56,Mártires de Tacubaya,2918,7615962,0.00038314266799125313
2240,20,Oaxaca,562,Magdalena Yodocono de Porfirio Díaz,2916,7615962,0.000382880061638963
2241,26,Sonora,15,Bavispe,2915,5346581,0.0005452082368152657
2242,20,Oaxaca,346,San Sebastián Nicananduta,2898,7615962,0.0003805166044683521
2243,20,Oaxaca,160,San Jerónimo Silacayoapilla,2898,7615962,0.0003805166044683521
2244,20,Oaxaca,183,San Juan Bautista Tlachichilco,2894,7615962,0.0003799913917637719
2245,20,Oaxaca,192,San Juan Chilateca,2884,7615962,0.00037867836000232143
2246,20,Oaxaca,92,San Andrés Ixtlahuaca,2883,7615962,0.0003785470568261764
2247,20,Oaxaca,477,Santiago Minas,2868,7615962,0.00037657750918400064
2248,20,Oaxaca,34,Guadalupe de Ramírez,2850,7615962,0.0003742140520133898
2249,20,Oaxaca,317,San Pedro Mártir Yucuxaco,2822,7615962,0.0003705375630813284
2250,20,Oaxaca,270,San Miguel Huautla,2812,7615962,0.00036922453131987793
2251,20,Oaxaca,473,Santiago Laxopa,2789,7615962,0.00036620455826854177
2252,20,Oaxaca,292,San Pablo Cuatro Venados,2779,7615962,0.0003648915265070913
2253,19,Nuevo León,3,Los Aldamas,2774,9320338,0.0002976286911483253
2254,26,Sonora,37,Mazatán,2744,5346581,0.0005132251807276464
2255,26,Sonora,63,Tepache,2730,5346581,0.0005106066849076073
2256,32,Zacatecas,43,Susticacán,2724,2991119,0.0009106959636176294
2257,26,Sonora,31,Huachinera,2707,5346581,0.0005063048703461147
2258,20,Oaxaca,221,San Juan Teposcolula,2686,7615962,0.00035268033112560173
2259,20,Oaxaca,529,Santos Reyes Yucuná,2664,7615962,0.00034979166125041067
2260,20,Oaxaca,216,San Juan Tabaá,2662,7615962,0.00034952905489812056
2261,20,Oaxaca,329,San Pedro Teozacoalco,2643,7615962,0.0003470342945513646
2262,20,Oaxaca,563,Yogana,2627,7615962,0.0003449334437330438
2263,20,Oaxaca,80,San Agustín Amatengo,2624,7615962,0.0003445395342046087
2264,20,Oaxaca,365,Santa Catarina Lachatao,2623,7615962,0.00034440823102846365
2265,26,Sonora,61,Soyopa,2621,5346581,0.0004902198245944464
2266,20,Oaxaca,48,Magdalena Mixtepec,2608,7615962,0.0003424386833862879
2267,19,Nuevo León,23,Gral. Treviño,2608,9320338,0.00027981817826778387
2268,20,Oaxaca,274,San Miguel Piedras,2592,7615962,0.0003403378325679671
2269,20,Oaxaca,564,Yutanduchi de Guerrero,2584,7615962,0.00033928740715880674
2270,26,Sonora,68,Villa Pesqueira,2581,5346581,0.0004827384079657635
2271,20,Oaxaca,127,San Cristóbal Amoltepec,2574,7615962,0.0003379743753973562
2272,21,Puebla,32,Cohetzala,2566,11567088,0.00022183629968061105
2273,20,Oaxaca,245,San Martín Zacatepec,2560,7615962,0.0003361361309313255
2274,20,Oaxaca,195,San Juan Diuxi,2512,7615962,0.0003298335784763632
2275,26,Sonora,5,Arivechi,2506,5346581,0.00046871075178698315
2276,26,Sonora,8,Bacadéhuachi,2505,5346581,0.00046852371637126606
2277,20,Oaxaca,132,San Dionisio Ocotlán,2501,7615962,0.00032838924353876766
2278,21,Puebla,198,Xicotlán,2484,11567088,0.0002147472207352447
2279,21,Puebla,56,Chila de la Sal,2482,11567088,0.00021457431637072355
2280,20,Oaxaca,109,San Antonio Nanahuatípam,2466,7615962,0.00032379363237369096
2281,20,Oaxaca,194,San Juan del Río,2462,7615962,0.00032326841966911075
2282,20,Oaxaca,128,San Cristóbal Lachirioag,2461,7615962,0.0003231371164929657
2283,21,Puebla,52,Chigmecatitlán,2456,11567088,0.00021232655963194884
2284,21,Puebla,21,Atzala,2456,11567088,0.00021232655963194884
2285,20,Oaxaca,53,Magdalena Tlacotepec,2451,7615962,0.0003218240847315152
2286,20,Oaxaca,528,Santos Reyes Tepejillo,2449,7615962,0.0003215614783792251
2287,20,Oaxaca,11,Calihualá,2440,7615962,0.0003203797497939197
2288,20,Oaxaca,522,Santo Domingo Xagacía,2426,7615962,0.000318541505327889
2289,20,Oaxaca,251,San Mateo Nejápam,2374,7615962,0.0003117137401683464
2290,20,Oaxaca,250,San Mateo Etlatongo,2372,7615962,0.00031145113381605635
2291,20,Oaxaca,65,Ixpantepec Nieves,2370,7615962,0.00031118852746376624
2292,20,Oaxaca,382,Santa Cruz Tacahua,2358,7615962,0.00030961288935002566
2293,20,Oaxaca,328,San Pedro Taviche,2348,7615962,0.00030829985758857513
2294,20,Oaxaca,303,San Pedro Cajonos,2344,7615962,0.00030777464488399497
2295,20,Oaxaca,142,San Francisco Huehuetlán,2320,7615962,0.0003046233686565138
2296,26,Sonora,34,Huépac,2318,5346581,0.00043354809363217354
2297,21,Puebla,190,Totoltepec de Guerrero,2314,11567088,0.00020005034975094856
2298,26,Sonora,28,Granados,2306,5346581,0.00043130366864356864
2299,20,Oaxaca,49,Magdalena Ocotlán,2287,7615962,0.00030029036384372716
2300,20,Oaxaca,289,San Nicolás,2286,7615962,0.0003001590606675821
2301,21,Puebla,165,Tepemaxalco,2282,11567088,0.00019728387991861047
2302,26,Sonora,62,Suaqui Grande,2282,5346581,0.00042681481866635896
2303,21,Puebla,121,San Diego la Mesa Tochimiltzingo,2264,11567088,0.00019572774063792027
2304,20,Oaxaca,458,Santiago Comaltepec,2234,7615962,0.00029333129550803956
2305,20,Oaxaca,436,Santa María Texcatitlán,2229,7615962,0.0002926747796273143
2306,20,Oaxaca,144,San Francisco Jaltepetongo,2220,7615962,0.00029149305104200887
2307,20,Oaxaca,299,San Pablo Yaganiza,2216,7615962,0.00029096783833742866
