,entidad,nom_ent,mun,nom_mun,pobtot,pob_edo,prop_pob_mun
1693,19,Nuevo León,20,Gral. Bravo,11413,9320338,0.0012245264066603593
1694,14,Jalisco,115,Villa Guerrero,11411,14729215,0.0007747188156327408
1695,21,Puebla,173,Teteles de Avila Castillo,11389,11567088,0.0009846039037655805
1696,29,Tlaxcala,45,Benito Juárez,11387,2342829,0.004860363261680644
1697,29,Tlaxcala,52,San José Teacalco,11348,2342829,0.004843716720255725
1698,20,Oaxaca,103,San Antonino Castillo Velasco,11302,7615962,0.0014839884967913443
1699,20,Oaxaca,546,Teotitlán del Valle,11286,7615962,0.0014818876459730234
1700,11,Guanajuato,6,Atarjea,11242,10990840,0.0010228517565536391
1701,20,Oaxaca,337,San Pedro y San Pablo Ayutla,11234,7615962,0.0014750598808134809
1702,21,Puebla,210,Zapotitlán de Méndez,11216,11567088,0.0009696476762345026
1703,14,Jalisco,4,Amacueca,11213,14729215,0.0007612761440443363
1704,20,Oaxaca,554,Totontepec Villa de Morelos,11211,7615962,0.0014720399077621448
1705,30,Veracruz de Ignacio de la Llave,156,Tatatila,11191,15332413,0.0007298916354522931
1706,29,Tlaxcala,35,Tocatlán,11178,2342829,0.004771154873018902
1707,16,Michoacán de Ocampo,28,Churintzio,11128,8722733,0.0012757469476596384
1708,20,Oaxaca,543,Tataltepec de Valdés,11128,7615962,0.0014611417441421058
1709,19,Nuevo León,34,Marín,11105,9320338,0.0011914803948097161
1710,8,Chihuahua,18,Cusihuiriachi,11103,6847912,0.0016213701344292976
1711,16,Michoacán de Ocampo,26,Chinicuila,11099,8722733,0.0012724223015882752
1712,14,Jalisco,52,Juchitlán,11082,14729215,0.0007523822552661496
1713,32,Zacatecas,47,Teúl de González Ortega,11076,2991119,0.003702962001846132
1714,19,Nuevo León,37,Mina,11043,9320338,0.0011848282755410802
1715,20,Oaxaca,502,Santiago Zacatepec,11039,7615962,0.0014494557614651963
1716,24,San Luis Potosí,30,San Nicolás Tolentino,11035,5184349,0.0021285218259804654
1717,31,Yucatán,42,Kantunil,11027,3916927,0.0028152171332271447
1718,16,Michoacán de Ocampo,48,Lagunillas,11017,8722733,0.0012630215782140758
1719,14,Jalisco,54,El Limón,11007,14729215,0.0007472903342099358
1720,19,Nuevo León,42,Los Ramones,10986,9320338,0.001178712617503786
1721,30,Veracruz de Ignacio de la Llave,137,Los Reyes,10983,15332413,0.0007163256038041761
1722,7,Chiapas,45,Ixtapangajoya,10976,9645256,0.0011379687589422199
1723,20,Oaxaca,159,San Jerónimo Coatlán,10973,7615962,0.0014407897518396232
1724,26,Sonora,20,Carbó,10871,5346581,0.0020332620042602927
1725,21,Puebla,155,Tecomatlán,10864,11567088,0.0009392165080787836
1726,8,Chihuahua,47,Moris,10848,6847912,0.001584132506375666
1727,21,Puebla,187,Tlaxco,10840,11567088,0.0009371416557045299
1728,20,Oaxaca,460,Santiago Choápam,10837,7615962,0.0014229325198838966
1729,14,Jalisco,11,Atengo,10834,14729215,0.0007355449696402693
1730,7,Chiapas,28,Chiapilla,10821,9645256,0.0011218986826269826
1731,31,Yucatán,95,Tixpéhual,10789,3916927,0.002754455214508721
1732,19,Nuevo León,32,Lampazos de Naranjo,10778,9320338,0.001156395830279975
1733,20,Oaxaca,66,Santiago Niltepec,10736,7615962,0.0014096708990932465
1734,24,San Luis Potosí,48,Villa de la Paz,10705,5184349,0.0020648687038623366
1735,6,Colima,6,Ixtlahuacán,10696,1305330,0.008194096511993135
1736,26,Sonora,51,Rosario,10650,5346581,0.0019919271773868198
1737,26,Sonora,16,Benjamín Hill,10623,5346581,0.0019868772211624587
1738,10,Durango,11,Indé,10619,3281041,0.0032364728145731795
1739,21,Puebla,79,Huitziltepec,10613,11567088,0.0009175170103313815
1740,20,Oaxaca,36,Guevea de Humboldt,10592,7615962,0.0013907632417283595
1741,30,Veracruz de Ignacio de la Llave,119,Otatitlán,10590,15332413,0.0006906936305459551
1742,30,Veracruz de Ignacio de la Llave,171,Texhuacán,10584,15332413,0.0006903023027099518
1743,10,Durango,19,Otáez,10568,3281041,0.0032209289673612736
1744,31,Yucatán,47,Maní,10542,3916927,0.0026913955761748943
1745,30,Veracruz de Ignacio de la Llave,163,Tenochtitlán,10464,15332413,0.0006824757459898843
1746,21,Puebla,92,Juan N. Méndez,10463,11567088,0.0009045491829922968
1747,20,Oaxaca,517,Santo Domingo Tepuxtepec,10399,7615962,0.001365421728732365
1748,8,Chihuahua,67,Valle de Zaragoza,10368,6847912,0.0015140381476864773
1749,16,Michoacán de Ocampo,27,Chucándiro,10337,8722733,0.001185064359989008
1750,30,Veracruz de Ignacio de la Llave,195,Xoxocotla,10330,15332413,0.0006737360909858089
1751,30,Veracruz de Ignacio de la Llave,5,Acula,10281,15332413,0.0006705402469917814
1752,11,Guanajuato,34,Santa Catarina,10268,10990840,0.0009342325063416445
1753,15,México,98,Texcalyacac,10222,30357152,0.000336724604468825
1754,21,Puebla,120,San Antonio Cañada,10220,11567088,0.0008835413027029794
1755,20,Oaxaca,130,San Dionisio del Mar,10202,7615962,0.0013395550030317904
1756,20,Oaxaca,550,San Jerónimo Tlacochahuaya,10200,7615962,0.0013392923966795002
1757,7,Chiapas,113,Aldama,10155,9645256,0.001052849193427318
1758,29,Tlaxcala,9,Cuaxomulco,10132,2342829,0.004324686095314682
1759,29,Tlaxcala,49,San Damián Texóloc,10130,2342829,0.00432383242652366
1760,13,Hidalgo,47,Pacula,10125,5333562,0.0018983561079818703
1761,29,Tlaxcala,54,San Lorenzo Axocomanitla,10098,2342829,0.004310173725867317
1762,7,Chiapas,50,La Libertad,10096,9645256,0.0010467321966363568
