,entidad,nom_ent,mun,nom_mun,p_total,pob_edo,prop_pob_mun
1794,20,Oaxaca,398,Ayoquezco de Aldama,8780,7026438,0.0012495662809520272
1795,21,Puebla,215,Zongozotla,8743,10774602,0.0008114452858676357
1796,20,Oaxaca,494,Santiago Tlazoyaltepec,8741,7026438,0.001244015815694951
1797,31,Yucatán,23,Chocholá,8728,3643791,0.0023953075244985238
1798,31,Yucatán,94,Tixmehuac,8724,3643791,0.0023942097666962785
1799,8,Chihuahua,44,Matamoros,8719,6519870,0.0013372966025396212
1800,31,Yucatán,17,Chankom,8716,3643791,0.002392014251091789
1801,20,Oaxaca,108,San Antonio Huitepec,8693,7026438,0.001237184473840088
1802,26,Sonora,38,Moctezuma,8681,4811876,0.0018040780768249223
1803,29,Tlaxcala,9,Cuaxomulco,8680,2139699,0.004056645350584358
1804,10,Durango,3,Coneto de Comonfort,8664,3036271,0.002853500231039983
1805,20,Oaxaca,337,San Pedro y San Pablo Ayutla,8661,7026438,0.001232630245936846
1806,28,Tamaulipas,8,Casas,8658,6069690,0.001426431992408179
1807,30,Veracruz de Ignacio de la Llave,113,Naranjal,8648,14264380,0.0006062653967434967
1808,21,Puebla,123,San Felipe Tepatlán,8629,10774602,0.000800864848650558
1809,10,Durango,2,Canelas,8592,3036271,0.0028297869327210913
1810,20,Oaxaca,51,Magdalena Teitipac,8592,7026438,0.0012228101920204804
1811,32,Zacatecas,18,Huanusco,8582,2745469,0.003125877582300146
1812,10,Durango,10,Hidalgo,8566,3036271,0.002821223797217047
1813,21,Puebla,62,Epatlán,8565,10774602,0.0007949249540725495
1814,20,Oaxaca,98,San Andrés Teotilálpam,8547,7026438,0.0012164058090315462
1815,31,Yucatán,62,Sacalum,8544,3643791,0.0023448106655952553
1816,14,Jalisco,104,Totatiche,8542,13532532,0.0006312196416753346
1817,20,Oaxaca,415,Santa María Ipalapa,8510,7026438,0.0012111399830184227
